    5   31  Pure helium grid                                                                                                               Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
  4500. 8.5  0.899 16.102 -0.471 18.121 17.723 16.573 15.895 15.254 14.669 14.371 14.193 18.956 17.149 16.165 15.784 15.603 16.556  0.827  2.142  1.700  0.872  1.243  2.403  1.826  1.142 7.657E+09
  4750. 8.5  0.899 15.867 -0.340 17.461 17.219 16.207 15.607 15.034 14.525 14.257 14.098 18.290 16.705 15.857 15.542 15.406 16.189  0.734  1.902  1.512  0.724  1.055  2.099  1.603  0.986 7.371E+09
  5000. 8.5  0.899 15.644 -0.243 16.871 16.775 15.888 15.355 14.840 14.397 14.155 14.012 17.695 16.315 15.587 15.330 15.232 15.870  0.651  1.677  1.344  0.595  0.891  1.819  1.395  0.847 7.083E+09
  5250. 8.5  0.899 15.432 -0.176 16.348 16.387 15.608 15.133 14.669 14.283 14.063 13.935 17.170 15.973 15.351 15.143 15.077 15.591  0.580  1.473  1.197  0.486  0.750  1.571  1.208  0.727 6.755E+09
  5500. 8.5  0.899 15.230 -0.133 15.891 16.048 15.363 14.937 14.515 14.179 13.979 13.864 16.711 15.675 15.142 14.977 14.939 15.347  0.520  1.294  1.072  0.393  0.631  1.356  1.047  0.624 6.296E+09
  6000. 8.5  0.900 14.851 -0.100 15.157 15.495 14.951 14.599 14.247 13.992 13.826 13.734 15.977 15.180 14.786 14.687 14.694 14.936  0.430  1.024  0.884  0.248  0.449  1.035  0.804  0.471 5.283E+09
  6500. 8.5  0.900 14.503 -0.105 14.594 15.053 14.607 14.310 14.012 13.824 13.687 13.614 15.414 14.778 14.484 14.435 14.478 14.595  0.366  0.844  0.755  0.140  0.318  0.817  0.642  0.364 4.383E+09
  7000. 8.5  0.901 14.180 -0.129 14.134 14.680 14.310 14.055 13.802 13.671 13.559 13.503 14.954 14.435 14.219 14.211 14.284 14.298  0.317  0.714  0.657  0.052  0.214  0.657  0.525  0.284 3.693E+09
  7500. 8.5  0.901 13.880 -0.167 13.741 14.355 14.047 13.829 13.614 13.532 13.441 13.401 14.562 14.134 13.984 14.011 14.109 14.037  0.276  0.612  0.577 -0.023  0.127  0.530  0.432  0.218 3.180E+09
  8000. 8.5  0.902 13.599 -0.213 13.397 14.068 13.812 13.625 13.443 13.404 13.333 13.306 14.219 13.867 13.772 13.830 13.950 13.803  0.242  0.528  0.511 -0.087  0.054  0.423  0.355  0.163 2.744E+09
  8500. 8.5  0.902 13.335 -0.265 13.093 13.812 13.601 13.440 13.288 13.287 13.233 13.219 13.916 13.628 13.581 13.665 13.805 13.593  0.213  0.456  0.453 -0.142 -0.010  0.332  0.290  0.115 2.361E+09
  9000. 8.5  0.903 13.087 -0.325 12.821 13.583 13.412 13.274 13.147 13.180 13.141 13.139 13.645 13.414 13.410 13.517 13.674 13.405  0.187  0.392  0.403 -0.191 -0.066  0.252  0.232  0.073 2.023E+09
  9500. 8.5  0.903 12.851 -0.391 12.577 13.379 13.243 13.126 13.022 13.084 13.060 13.067 13.402 13.223 13.257 13.385 13.557 13.237  0.164  0.334  0.358 -0.234 -0.116  0.179  0.179  0.036 1.726E+09
 10000. 8.5  0.903 12.628 -0.464 12.358 13.196 13.092 12.994 12.911 12.999 12.987 13.003 13.184 13.052 13.121 13.267 13.453 13.088  0.143  0.281  0.316 -0.273 -0.161  0.113  0.131  0.002 1.467E+09
 11000. 8.5  0.904 12.213 -0.614 11.980 12.877 12.827 12.760 12.709 12.840 12.848 12.878 12.807 12.753 12.881 13.055 13.262 12.823  0.109  0.193  0.249 -0.337 -0.235  0.005  0.052 -0.054 1.055E+09
 12000. 8.5  0.905 11.834 -0.776 11.668 12.617 12.610 12.570 12.545 12.713 12.737 12.779 12.496 12.508 12.686 12.884 13.109 12.606  0.081  0.119  0.194 -0.391 -0.299 -0.086 -0.014 -0.102 8.196E+08
